Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
20MICRONS.NS,20 Microns Limited
GHCL.NS,GHCL Limited
GICHSGFIN.NS,GIC Housing Finance Limited
GICRE.NS,General Insurance Corporation of India
GILLANDERS.NS,Gillanders Arbuthnot and Company Limited
GILLETTE.NS,Gillette India Limited
GINNIFILA.NS,Ginni Filaments Limited
GIPCL.NS,Gujarat Industries Power Company Limited
GISOLUTION.NS,GI Engineering Solutions Limited
GKWLIMITED.NS,GKW Limited
GLAND.NS,Gland Pharma Limited
GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited
GLENMARK.NS,Glenmark Pharmaceuticals Limited
GLFL.NS,Gujarat Lease Financing Limited
GLOBAL.NS,Global Education Limited
GLOBALVECT.NS,Global Vectra Helicorp Limited
GLOBE.NS,Globe Textiles (India) Limited
GLOBUSSPR.NS,Globus Spirits Limited
GLS.NS,Glenmark Life Sciences Limited
GMBREW.NS,G.M. Breweries Limited
GMDCLTD.NS,Gujarat Mineral Development Corporation Limited
GMMPFAUDLR.NS,GMM Pfaudler Limited
GMRINFRA.NS,GMR Infrastructure Limited
GNA.NS,G N A Axles Limited
GNFC.NS,Gujarat Narmada Valley Fertilizers & Chemicals Limited
GOACARBON.NS,Goa Carbon Limited
GOCLCORP.NS,GOCL Corporation Limited
GODFRYPHLP.NS,Godfrey Phillips India Limited
GODHA.NS,Godha Cabcon & Insulation Limited
GODREJAGRO.NS,Godrej Agrovet Limited
GODREJCP.NS,Godrej Consumer Products Limited
GODREJIND.NS,Godrej Industries Limited
GODREJPROP.NS,Godrej Properties Limited
GOENKA.NS,Goenka Diamond and Jewels Limited
GOKEX.NS,Gokaldas Exports Limited
GOKUL.NS,Gokul Refoils & Solvent Limited
GOKULAGRO.NS,Gokul Agro Resources Limited
GOLDENTOBC.NS,Golden Tobacco Limited
GOLDIAM.NS,Goldiam International Limited
GOLDSHARE.NS,UTI Mutual Fund - UTI-Gold Exchange Traded Fund
GOLDTECH.NS,Goldstone Technologies Limited
GOODLUCK.NS,Goodluck India Limited
GOODYEAR.NS,Goodyear India Limited
GPIL.NS,Godawari Power & Ispat Limited
GPPL.NS,Gujarat Pipavav Port Limited
